Site,Depth,TextureClass,MeasPorosity,EstPorosity
Site15,13,SiltyLoam,0.677,0.501
Site15,20,SiltyClayLoam,0.582,0.471
Site15,52,SiltyClay,0.522,0.479
Site15,85,SandyLoam,0.353,0.453
Site51,8,SiltyLoam,NA,0.501
Site51,22,SiltyLoam,0.512,0.501
Site51,40,SiltyClayLoam,0.382,0.471
Site51,68,NA,0.376,NA
Site51,92,NA,0.376,NA
Site53,10,SiltyLoam,NA,0.501
Site53,22,SiltyLoam,0.512,0.501
Site53,40,SiltyClayLoam,0.382,0.471
Site53,73,NA,0.376,NA
Site55,14,SiltyLoam,0.523,0.501
Site55,41,SiltyLoam,NA,0.501
Site55,86,SiltyClayLoam,NA,0.471
Site55,90,SiltyClayLoam,NA,0.471
Site60,8,SiltyLoam,0.638,0.501
Site60,15,SiltyLoam,0.525,0.501
Site60,28,SiltyLoam,NA,0.501
Site60,38,SiltyLoam,NA,0.501
Site61,13,Loam,0.51,0.463
Site61,20,ClayLoam,0.482,0.464
Site61,35,ClayLoam,0.373,0.464
Site61,66,ClayLoam,0.373,0.464
Site61,86,SandyClayLoam,0.347,0.398
Site61,95,SandyClayLoam,0.347,0.398
Site74,8,SiltyLoam,0.638,0.501
Site74,10,SiltyLoam,0.638,0.501
Site74,17,SiltyLoam,0.525,0.501
